id,subClassOf,parent
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chrysomantis,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrayingMantis
http://kbpedia.org/kko/rc/Chrysomantis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catfish
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChiroteuthisVeranyi,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squid
http://kbpedia.org/kko/rc/ChiroteuthisVeranyi,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brown-earedWoodpecker,rdfs:subClassOf,http://kbpedia.org/kko/rc/Woodpecker
http://kbpedia.org/kko/rc/Brown-earedWoodpecker,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fur
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonPoweredDevice
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalMaterial
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrueParrots,rdfs:subClassOf,http://kbpedia.org/kko/rc/Parrot
http://kbpedia.org/kko/rc/TrueParrots,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommonBlanketOctopus,rdfs:subClassOf,http://kbpedia.org/kko/rc/BlanketOctopus
http://kbpedia.org/kko/rc/CommonBlanketOctopus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PanamaSlenderOpossum,rdfs:subClassOf,http://kbpedia.org/kko/rc/Opossum
http://kbpedia.org/kko/rc/PanamaSlenderOpossum,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Long-clawedGroundSquirrel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squirrel
http://kbpedia.org/kko/rc/Long-clawedGroundSquirrel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CeratomantisYunnanensis,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ceratomantis
http://kbpedia.org/kko/rc/CeratomantisYunnanensis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,http://kbpedia.org/kko/rc/PitViper
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeftGastricArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/LeftGastricArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Compsomantis,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrayingMantis
http://kbpedia.org/kko/rc/Compsomantis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GrimalditeuthisBonplandi,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squid
http://kbpedia.org/kko/rc/GrimalditeuthisBonplandi,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryPerson
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfficerInOrganization
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brown-frontedWoodpecker,rdfs:subClassOf,http://kbpedia.org/kko/rc/Woodpecker
http://kbpedia.org/kko/rc/Brown-frontedWoodpecker,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Architect
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Urophora,rdfs:subClassOf,http://kbpedia.org/kko/rc/Tephritinae
http://kbpedia.org/kko/rc/Urophora,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmberDarter,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fish
http://kbpedia.org/kko/rc/AmberDarter,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Tern,rdfs:subClassOf,http://kbpedia.org/kko/rc/Seabird
http://kbpedia.org/kko/rc/Tern,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BrentGoose,rdfs:subClassOf,http://kbpedia.org/kko/rc/Branta
http://kbpedia.org/kko/rc/BrentGoose,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RedThree-stripedOpossum,rdfs:subClassOf,http://kbpedia.org/kko/rc/Opossum
http://kbpedia.org/kko/rc/RedThree-stripedOpossum,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AfricanGroundSquirrel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squirrel
http://kbpedia.org/kko/rc/AfricanGroundSquirrel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Natalus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Natalidae
http://kbpedia.org/kko/rc/Natalus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Acanthocercus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Agamidae
http://kbpedia.org/kko/rc/Acanthocercus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LingualArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/LingualArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Creobroter,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrayingMantis
http://kbpedia.org/kko/rc/Creobroter,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HumboldtSquid,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squid
http://kbpedia.org/kko/rc/HumboldtSquid,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BayWoodpecker,rdfs:subClassOf,http://kbpedia.org/kko/rc/Woodpecker
http://kbpedia.org/kko/rc/BayWoodpecker,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RetailDepartmentManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/RetailDepartmentManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HierodulaPatellifera,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hierodula
http://kbpedia.org/kko/rc/HierodulaPatellifera,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmphibiousFish,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fish
http://kbpedia.org/kko/rc/AmphibiousFish,rdfs:subClassOf,owl:Thing
